Pango lineage,antigenic_score,frequency,zscore,significant,date
XBB.1.4.1,20.50930515193939,0.001085356652525,2.4849921855189865,yes,11-2022
XBB.2.6,20.27959613491401,0.0056401439720961,2.33473172521104,yes,11-2022
CH.1.1,20.099849070402364,0.0036178555084169,2.2171530728695923,yes,11-2022
BN.1.3.6,20.04375626915332,0.0021738054892453,2.180460868772475,yes,11-2022
BN.1.9,20.03048141430807,0.0011564768890153,2.1717773359038106,yes,11-2022
BN.1.2.3,19.96796901521985,0.001085356652525,2.130885855092188,yes,11-2022
XBB.1.1,19.95980542263058,0.0013172704671671,2.125545772251231,yes,11-2022
BN.1.3,19.948026013197847,0.0095981397419881,2.117840460955929,yes,11-2022
BN.1.5,19.946373877224342,0.0031602122475231,2.116759742771311,yes,11-2022
BN.1.2,19.83412101546757,0.0052845427896448,2.0433313380143767,yes,11-2022
XBF,19.81589542256033,0.0031663966159136,2.031409359438654,yes,11-2022
BA.2.75.2,19.80822790359928,0.0026623705920914,2.026393775185901,yes,11-2022
BN.1.4,19.711760153253,0.0017594528070848,1.963290947270781,yes,11-2022
BN.1,19.704425361654664,0.0047743323974322,1.958493011272879,yes,11-2022
XBB.2,19.670519487243396,0.0028540860121955,1.9363140286532363,yes,11-2022
BN.1.3.1,19.650355457222197,0.0037910178233497,1.923124052604913,yes,11-2022
XBB.1,19.63627756272929,0.0211969226582889,1.91391522426172,yes,11-2022
BM.1.1.3,19.425922109120197,0.0020779477791933,1.7763145863028809,yes,11-2022
BA.2.75.5,19.41936758562453,0.0011070019418916,1.772027050139474,yes,11-2022
XBB.1.5,19.39295922019951,0.0017934668332323,1.7547524424809244,yes,11-2022
BR.2.1,19.293761664136674,0.0044310999517619,1.6898639560451547,yes,11-2022
XBB.1.15,19.125709936722043,0.0024768395403777,1.579935620432285,yes,11-2022
BL.1,19.027632525807704,0.0010204207844252,1.5157798589361131,yes,11-2022
CM.2,18.888238450275832,0.0013079939145815,1.4245974655549003,yes,11-2022
BA.2.3.20,18.82124114375701,0.0039239817437445,1.3807722546542829,yes,11-2022
XBB.3,18.758657691366032,0.0011626612574057,1.3398342954670304,yes,11-2022
XBB,18.39808389327356,0.003877598980816,1.103970742621066,yes,11-2022
BN.1.1,21.01502994265165,0.001023092662964,1.9843290674643643,yes,01-2023
CH.1.1.3,20.87581779136425,0.0011286498424762,1.9040564565237692,yes,01-2023
CH.1.1.10,20.738904207127653,0.0012666861541459,1.8251092469715184,yes,01-2023
DV.6,20.664920028630984,0.0031261164701679,1.7824484366808877,yes,01-2023
BN.1.2.2,20.50265261315897,0.0022167007697554,1.6888816827009905,yes,01-2023
CH.1.1.1,20.484455317732092,0.0078315307414985,1.6783887451056454,yes,01-2023
CH.1.1.2,20.46535592203416,0.0029840202669784,1.667375637802276,yes,01-2023
CH.1.1.7,20.34812274829208,0.0014778005131702,1.5997765607238628,yes,01-2023
BN.1.2.5,20.328499685782592,0.001400662574296,1.5884614962864574,yes,01-2023
BN.1.3.5,20.317498120218065,0.0019690473870538,1.5821177656269418,yes,01-2023
XBB.2.6,20.29152711516824,0.0037594595472408,1.5671423459899263,yes,01-2023
BN.3.1,20.224193325725828,0.0013722433336581,1.5283162878255945,yes,01-2023
XBB.1.4.1,20.140284321214796,0.0016036571502809,1.4799326172103675,yes,01-2023
BN.1.3.7,20.099427517626296,0.0010149728799246,1.4563737376987314,yes,01-2023
BN.1.2,20.05524835240244,0.0090210789567702,1.4308991156280362,yes,01-2023
BN.1.3.6,20.054478924636022,0.0011327097339959,1.430455447635199,yes,01-2023
BN.1.3,20.03852741839829,0.0132880249439734,1.4212574786195902,yes,01-2023
CH.1.1,19.98644095746611,0.022978986001494,1.391223346002464,yes,01-2023
BN.1.2.3,19.953968529222383,0.0019284484718568,1.3724990710408354,yes,01-2023
XBB.1.5.1,19.943782503103343,0.0011124102763974,1.366625597323757,yes,01-2023
BN.1.2.1,19.915257034247567,0.0012910455032641,1.3501772209271423,yes,01-2023
BN.1.4,19.89418916865723,0.0013275845269414,1.3380290530966612,yes,01-2023
XBB.1.5.16,19.836502057662063,0.0017944720517067,1.3047654696064392,yes,01-2023
CH.1.1.24,19.81587948475924,0.0014859202962096,1.292874066766144,yes,01-2023
BN.1.5,19.79579466364345,0.0028094449316314,1.2812927427486005,yes,01-2023
XBB.1.5.19,19.759459037739287,0.0014250219234142,1.2603408679696066,yes,01-2023
CH.1.1.11,19.751531875668483,0.0016361362824385,1.2557699020669326,yes,01-2023
