pango_lineages,EVEscape.score_sigmoid.avg,EVEscape.score_sigmoid.max,EVEscape.score_pos.avg,EVEscape.score_pos.max
HT.2,7.62003654719736,9.82016054164627,132.588191877138,165.4671837
HU.1,7.96727488661182,8.35784662602923,136.359832420513,142.7172003
HU.1.1,8.19324823253775,9.02865893228274,140.680205962416,153.9690194
HU.2,7.97927252349707,8.85225389433981,136.520375935,150.5876933
HV.1,8.45236301615796,10.368553310736,145.684529437393,176.2378916
HW.1,7.23369940261817,7.88036549270844,125.456147863398,135.0159048
HW.1.1,7.45322868754669,8.09169750010913,128.995603581754,140.9942186
HY.1,7.89537311163364,9.41730469273457,137.548270030565,163.4614563
HZ.1,7.57063721284605,9.19532146309211,132.146881531127,159.6307976
HZ.2,7.63397361683229,9.11252193706605,132.905836479957,159.0117529
HZ.3,7.46308754305746,8.20198423164835,129.85621249372,145.0107181
JA.1,8.09207782610756,10.5674033289841,139.835885935249,181.1455928
JB.1,7.55338070478971,8.56976643785317,131.854295184211,148.8303216
JB.2,7.6875801656953,8.83079234649158,134.705520626786,154.9423154
JB.2.1,8.28423738005924,9.50125798202253,144.025864360714,164.0708581
JC.1,8.12219459320189,9.56156048631953,139.79821470625,164.5661413
JD.1,7.53937322040043,8.74844603744043,130.725590402674,152.058311
JD.1.1,8.19967534854264,10.6247541320348,141.749068248057,177.9485076
JD.1.1.1,8.53999601119012,10.0929239030103,146.789890497485,172.2651348
JD.1.1.2,8.60850349623811,13.3894669993656,149.306384065468,241.7718984
JD.1.1.3,8.51837647391078,10.2084397067658,146.743555708151,175.2652269
JD.1.2,8.10815092137954,9.24764208726736,141.2352019,159.9118061
JD.2,7.35475383574579,8.65252233248796,126.927936065066,146.8985178
JE.1,7.74868345097998,9.95604185180322,133.449225737224,171.213981
JE.1.1,8.42106617297346,10.2097748206664,146.203520710692,175.1635609
JF.1,8.38297741939039,13.5486155436146,143.627688837301,242.626583
JF.2,8.54083901482085,8.73838897071222,145.610563518462,149.7601702
JG.1,7.94289788587723,9.6056592762363,139.306477103297,166.5318379
JG.2,8.08648591500226,10.0233744349707,140.284088784,171.8889585
JG.3,8.23493648127743,10.4202488979018,144.149174915474,180.2771618
JH.1,8.45696374131565,8.81283723699483,140.248219007692,146.9091846
JH.2,7.55186347650439,7.8302548407602,128.169901780952,133.5557231
JJ.1,8.03845949272272,8.87087539408258,139.309960033095,152.8179153
JK.1,7.55752561204402,9.45457928820959,132.115055830189,163.4117249
JL.1,8.63633782320447,9.08569489687714,145.589197220455,154.2552769
JM.1,8.61686644438955,9.04982363856497,148.285766909091,155.8941893
JM.2,8.58193527377117,9.17793697951956,145.648939289404,156.7627881
JN.1,9.88744619407423,25.2044175042916,173.067875201557,457.8931073
JN.1.1,10.0687944849654,11.7441760193243,176.319411243534,203.256716
JN.1.1.1,10.2898437085844,11.9103045936441,181.546832910189,215.8597792
JN.1.1.10,9.97827370218058,10.7284631983008,175.079075952,187.4578704
JN.1.1.2,10.6811666179228,11.1629163150467,185.937055221875,194.7321386
JN.1.1.3,10.4449815538652,11.0531313153386,181.10058750625,191.7131504
JN.1.1.4,10.4961082312933,10.9919842329248,184.835474686486,195.3484026
JN.1.1.5,10.6519464384121,11.1211434941942,184.41940226129,192.1041288
JN.1.1.6,9.88455964442499,10.9206988907248,173.848155738889,192.9326478
JN.1.1.7,10.038240090704,10.8480642978655,176.64881305625,190.3712378
JN.1.1.9,9.21843804386266,10.5122765376069,160.849427366667,183.7326895
JN.1.10,10.0654964780758,10.770439521565,176.528700598039,189.589407
JN.1.11,9.31539037246878,11.8029889293816,164.421777990909,207.1806145
JN.1.11.1,10.2499480600909,10.8327671065724,180.12657173,190.3421143
JN.1.12,10.13542716958,10.8581368142815,177.759468866667,190.5912913
JN.1.13,10.1311025934752,10.9205645919361,178.68899545,190.4716952
JN.1.13.1,11.1124128815264,11.1124128815264,194.0468599,194.0468599
JN.1.14,10.7328398493876,11.0413480832186,186.013196266667,191.6671121
JN.1.15,10.5322660112599,10.9982840022675,184.444040814035,193.7673191
JN.1.16,10.3363233711513,10.8060234279372,181.125546452273,190.0310097
